"Time","Accel_x","Accel_y","Accel_z","Gyro_x","Gyro_y","Gyro_z","Mag_x","Mag_y","Mag_z","Light","Compass"
"333",,,,,,,"9.7","-14.3","-34.3",,
"328",,,,"-0.5763081","0.17150758","0.34834146",,,,,
"339","0.15562311","1.7489643","9.012972",,,,,,,,
"333",,,,"-0.72011876","0.1917476","0.3291667",,,,,
"339",,,,,,,,,,,"205.78007956039323"
"343","-0.0047884034","1.5693992","9.285912",,,,,,,,
"343",,,,,,,"9.5","-14.3","-34.4",,
"338",,,,"-0.84688526","0.18322548","0.32170987",,,,,
"350","-0.15322891","1.3934253","9.5971575",,,,,,,,
"343",,,,"-0.9534117","0.16405073","0.3206446",,,,,
"350",,,,,,,,,,,"205.5575110160992"
"353","-0.2717419","1.0450691","9.878476",,,,,,,,
"353",,,,,,,"9.5","-14.1","-34.4",,
"348",,,,"-1.0418286","0.14061491","0.32597092",,,,,
"359","-0.33877954","0.59017074","10.0029745",,,,,,,,
"353",,,,"-1.1014835","0.10865697","0.34834146",,,,,
"359",,,,,,,,,,,"208.49942375578544"
"365","-0.33638534","0.25977087","10.14543",,,,,,,,
"365",,,,,,,"9.5","-14.2","-34.600002",,
"358",,,,"-1.1313108","0.06178534","0.39947417",,,,,
"370","-0.24301147","0.142455","10.362105",,,,,,,,
"363",,,,"-1.1323761","0.011717909","0.46552056",,,,,
"370",,,,,,,,,,,"208.2055207157998"
"374","-0.1376666","0.24779987","10.612299",,,,,,,,
"374",,,,,,,"9.3","-14.0","-34.7",,
"368",,,,"-1.1046792","-0.020240024","0.5251754",,,,,
"379","0.009576807","0.4357447","10.812215",,,,,,,,
"373",,,,"-1.0492855","-0.029827405","0.567786",,,,,
"379",,,,,,,,,,,"210.75946505025095"
"383","0.20350714","0.6811504","10.959458",,,,,,,,
"383",,,,,,,"9.0","-13.8","-34.9",,
"378",,,,"-0.97258645","-0.027696876","0.58696073",,,,,
"389","0.34715924","0.961272","11.067198",,,,,,,,
"383",,,,"-0.8788432","-0.025566347","0.5795039",,,,,
